file_name,file_code_x,file_code_y
000000.png,19.0,9.0
000002.png,115.0,116.0
000011.png,619.0,610.0
000014.png,836.0,856.0
000015.png,440.0,40.0
000024.png,34.0,37.0
000026.png,43.0,17.0
000035.png,175.0,16.0
000036.png,22.0,24.0
000040.png,180.0,18.0
000042.png,24.0,4.0
000060.png,117.0,17.0
000063.png,448.0,648.0
000071.png,23.0,25.0
000072.png,28.0,26.0
000080.png,55.0,5.0
000086.png,300.0,30.0
000096.png,38.0,8.0
000102.png,22.0,2.0
000103.png,47.0,1.0
000117.png,15.0,45.0
000121.png,35.0,55.0
000128.png,52.0,2.0
000133.png,5419.0,59.0
000148.png,161.0,11.0
000164.png,317.0,311.0
000168.png,330.0,530.0
000171.png,9.0,79.0
000175.png,379.0,370.0
000183.png,182.0,1822.0
000193.png,39.0,59.0
000202.png,33.0,1.0
000208.png,6.0,61.0
000210.png,19.0,15.0
000230.png,1440.0,140.0
000231.png,566.0,56.0
000249.png,16.0,14.0
000256.png,4.0,44.0
000258.png,78.0,7.0
000263.png,3.0,9.0
000266.png,19.0,12.0
000271.png,252.0,52.0
000280.png,30.0,36.0
000289.png,153.0,157.0
000299.png,47.0,7.0
000301.png,913.0,9913.0
000321.png,36.0,56.0
000336.png,115.0,215.0
000341.png,75.0,5.0
000344.png,14436.0,436.0
000351.png,215.0,115.0
000354.png,7.0,9.0
000361.png,287.0,27.0
000366.png,44.0,4414.0
000372.png,198.0,8.0
000377.png,32.0,2.0
000390.png,33.0,55.0
000395.png,1784.0,174.0
000409.png,1454.0,156.0
000423.png,7785.0,7765.0
000427.png,1288.0,12838.0
000439.png,423.0,123.0
000444.png,4177.0,417.0
000460.png,188.0,766.0
000465.png,12.0,92.0
000468.png,1380.0,1580.0
000475.png,908.0,90.0
000478.png,15.0,25.0
000494.png,326.0,26.0
000512.png,9730.0,2730.0
000517.png,13.0,45.0
000520.png,10.0,70.0
000521.png,69.0,66.0
000523.png,14.0,111.0
000533.png,33.0,16.0
000543.png,569.0,565.0
000549.png,280.0,286.0
000555.png,19.0,1.0
000558.png,597.0,51.0
000564.png,90.0,20.0
000566.png,91.0,41.0
000581.png,406.0,106.0
000582.png,279.0,277.0
000584.png,633.0,63.0
000592.png,15.0,1.0
000599.png,13.0,3.0
000611.png,253.0,251.0
000612.png,157.0,151.0
000631.png,36.0,56.0
000650.png,57.0,56.0
000652.png,1783.0,1713.0
000653.png,143.0,1485.0
000678.png,335.0,36.0
000704.png,260.0,266.0
000705.png,132.0,152.0
000712.png,448.0,48.0
000720.png,30.0,50.0
000727.png,226.0,26.0
000729.png,19.0,9.0
000752.png,706.0,703.0
000753.png,42.0,22.0
000761.png,16.0,161.0
000763.png,13.0,11.0
000769.png,74.0,44.0
000787.png,33.0,37.0
000788.png,78.0,18.0
000796.png,13.0,15.0
000802.png,1.0,6.0
000814.png,24.0,44.0
000819.png,210.0,310.0
000834.png,133.0,135.0
000838.png,36.0,569.0
000839.png,2.0,22.0
000847.png,8.0,3.0
000848.png,33.0,333.0
000849.png,335.0,35.0
000857.png,3.0,5.0
000858.png,57.0,51.0
000866.png,18.0,19.0
000869.png,43.0,41.0
000870.png,53.0,5.0
000873.png,44.0,454.0
000887.png,22.0,32.0
000889.png,26.0,20.0
000911.png,9931.0,931.0
000916.png,75.0,16.0
000930.png,15.0,45.0
000944.png,147.0,47.0
000954.png,277.0,777.0
000962.png,13.0,15.0
000964.png,9.0,1.0
001014.png,913.0,113.0
001021.png,31.0,51.0
001022.png,55.0,5.0
001030.png,91.0,11.0
001033.png,151.0,11.0
001043.png,374.0,574.0
001049.png,42.0,2.0
001053.png,142.0,42.0
001066.png,88.0,33.0
001074.png,124.0,444.0
001075.png,337.0,3.0
001080.png,135.0,155.0
001081.png,28.0,25.0
001088.png,239.0,219.0
001095.png,156.0,16.0
001102.png,25.0,125.0
001108.png,73.0,7.0
001113.png,360.0,36.0
001117.png,125.0,15.0
001123.png,179.0,19.0
001124.png,467.0,667.0
001138.png,1.0,10.0
001145.png,345.0,545.0
001147.png,4517.0,417.0
001148.png,20.0,10.0
001153.png,1232.0,232.0
001164.png,38.0,78.0
001180.png,182.0,184.0
001188.png,158.0,18.0
001189.png,57.0,54.0
001195.png,6.0,64.0
001210.png,192.0,112.0
001219.png,653.0,657.0
001227.png,44.0,46.0
001232.png,116.0,16.0
001234.png,20.0,1072.0
001239.png,33.0,55.0
001249.png,16.0,4.0
001258.png,14.0,145.0
001260.png,310.0,410.0
001263.png,63.0,67.0
001268.png,4.0,45.0
001273.png,31.0,21.0
001284.png,461.0,161.0
001285.png,390.0,300.0
001292.png,13.0,15.0
001301.png,14.0,17.0
001302.png,555.0,554.0
001309.png,27.0,47.0
001311.png,55.0,5.0
001314.png,50.0,53.0
001320.png,4.0,43.0
001322.png,108.0,106.0
001325.png,34.0,14.0
001340.png,552.0,152.0
001341.png,23.0,24.0
001344.png,27.0,47.0
001346.png,875.0,815.0
001353.png,185.0,184.0
001356.png,345.0,945.0
001363.png,18.0,78.0
001364.png,3351.0,351.0
001369.png,62.0,64.0
001375.png,27.0,25.0
001377.png,31.0,51.0
001379.png,15.0,45.0
001384.png,69.0,6.0
001390.png,60.0,50.0
001409.png,165.0,66.0
001413.png,47.0,7.0
001414.png,134.0,3.0
001421.png,14.0,144.0
001431.png,13.0,15.0
001433.png,691.0,91.0
001436.png,3364.0,364.0
001437.png,100.0,106.0
001445.png,255.0,254.0
001450.png,732.0,32.0
001457.png,471.0,41.0
001459.png,53.0,33.0
001462.png,86.0,66.0
001470.png,3.0,8.0
001492.png,195.0,145.0
001497.png,44.0,4.0
001520.png,778.0,178.0
001521.png,35.0,55.0
001527.png,33.0,54.0
001529.png,13.0,4.0
001537.png,45.0,451.0
001539.png,13.0,73.0
001543.png,71.0,7.0
001554.png,13.0,4.0
001562.png,648.0,643.0
001564.png,61.0,6.0
001567.png,32.0,52.0
001571.png,1102.0,102.0
001577.png,8813.0,1813.0
001583.png,83.0,8.0
001585.png,734.0,34.0
001586.png,27.0,24.0
001588.png,289.0,299.0
001591.png,21.0,11.0
001599.png,18.0,31.0
001612.png,123.0,125.0
001619.png,268.0,26.0
001622.png,137.0,1737.0
001623.png,116.0,216.0
001624.png,1577.0,5577.0
001625.png,61.0,1.0
001626.png,722.0,22.0
001640.png,37.0,7.0
001656.png,320.0,370.0
001668.png,43.0,9.0
001672.png,22.0,25.0
001686.png,33.0,13.0
001691.png,12.0,122.0
001693.png,643.0,43.0
001694.png,303.0,301.0
001701.png,37.0,237.0
001707.png,180.0,7780.0
001714.png,178.0,5.0
001715.png,87.0,82.0
001728.png,342.0,42.0
001731.png,85.0,35.0
001746.png,165.0,15.0
001755.png,990.0,90.0
001763.png,355.0,555.0
001765.png,215.0,2115.0
001766.png,250.0,2250.0
001769.png,47.0,41.0
001772.png,191.0,11.0
001773.png,21.0,211.0
001778.png,72.0,2.0
001783.png,12.0,82.0
001804.png,3.0,2.0
001820.png,7.0,70.0
001823.png,273.0,23.0
001835.png,2127.0,217.0
001836.png,87.0,67.0
001837.png,28.0,26.0
001841.png,378.0,374.0
001846.png,73.0,23.0
001848.png,79.0,70.0
001856.png,32.0,374.0
001860.png,27.0,7.0
001865.png,112.0,12.0
001887.png,546.0,146.0
001891.png,817.0,317.0
001892.png,35.0,3.0
001900.png,557.0,57.0
001902.png,317.0,37.0
001916.png,15.0,10.0
001921.png,31.0,3.0
001924.png,7.0,77.0
001941.png,25.0,255.0
001946.png,256.0,56.0
001952.png,101.0,192.0
001959.png,35.0,5.0
001960.png,27.0,21.0
001965.png,1044.0,10444.0
001986.png,477.0,471.0
001989.png,94.0,44.0
001995.png,45.0,1045.0
002012.png,31.0,34.0
002018.png,172.0,122.0
002020.png,12.0,32.0
002031.png,497.0,47.0
002034.png,332.0,532.0
002036.png,33.0,35.0
002040.png,222.0,22.0
002042.png,327.0,27.0
002045.png,984.0,94.0
002053.png,163.0,663.0
002061.png,18.0,11.0
002076.png,38.0,8.0
002078.png,138.0,13.0
002083.png,13.0,1.0
002084.png,36.0,3.0
002086.png,295.0,395.0
002112.png,213.0,273.0
002132.png,9151.0,151.0
002138.png,425.0,45.0
002139.png,83.0,33.0
002145.png,103.0,403.0
002147.png,128.0,129.0
002150.png,359.0,159.0
002157.png,270.0,70.0
002162.png,515.0,15.0
002165.png,1512.0,1511.0
002168.png,37.0,30.0
002170.png,76.0,6.0
002171.png,579.0,59.0
002183.png,7.0,57.0
002184.png,471.0,71.0
002189.png,6.0,5.0
002222.png,597.0,591.0
002239.png,6.0,5.0
002243.png,3.0,7.0
002249.png,458.0,438.0
002251.png,23.0,25.0
002256.png,577.0,57.0
002259.png,32.0,52.0
002261.png,259.0,59.0
002301.png,97.0,971.0
002306.png,5.0,54.0
002309.png,13.0,15.0
002313.png,117.0,1017.0
002319.png,213.0,21.0
002331.png,133.0,13.0
002353.png,98.0,38.0
002367.png,749.0,449.0
002374.png,370.0,10.0
002382.png,944.0,947.0
002387.png,585.0,565.0
002388.png,60.0,68.0
002389.png,858.0,658.0
002391.png,194.0,199.0
002399.png,18.0,101.0
002407.png,55.0,85.0
002418.png,8.0,1.0
002441.png,14.0,17.0
002444.png,13.0,15.0
002451.png,76.0,26.0
002455.png,14.0,1.0
002458.png,7.0,2.0
002460.png,79.0,70.0
002471.png,26.0,6.0
002475.png,577.0,517.0
002476.png,191.0,291.0
002477.png,1470.0,70.0
002481.png,75.0,7.0
002483.png,16.0,76.0
002484.png,94.0,84.0
002485.png,1039.0,1029.0
002486.png,2.0,7.0
002505.png,35.0,6.0
002510.png,82.0,62.0
002511.png,64.0,54.0
002514.png,2030.0,3030.0
002521.png,315.0,415.0
002529.png,16.0,776.0
002536.png,73.0,33.0
002540.png,64.0,644.0
002544.png,60.0,66.0
002545.png,8.0,86.0
002549.png,1441.0,41.0
002553.png,134.0,14.0
002565.png,215.0,25.0
002572.png,25.0,2.0
002583.png,167.0,161.0
002587.png,448.0,446.0
002589.png,550.0,656.0
002597.png,475.0,45.0
002603.png,15.0,56.0
002605.png,74.0,76.0
